Object,Type,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"flux R (measured, W/m^2)","flux G (measured, W/m^2)","flux B (measured, W/m^2)","flux V (measured, W/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Apparent magnitude V (instrumental),Airmass
LEDA 2343422,Bader,2024-03-06T20:50:10.490,205.13619249999996,49.45396111111111,205.12213248496118,49.44338343115723,0.01398005591073235,,,,,,,297.125513126466,,,,-6.182349861874671,1.694747
NVSS J134023+493053,Bader,2024-03-06T20:50:10.490,205.09838749999997,49.51490555555556,205.12325081081346,49.517395228037934,0.016332967285751676,,,,,,,70.26489312557177,,,,-4.616845975063327,1.694747
NVSS J134052+493231,Bader,2024-03-06T20:50:10.490,205.2195833333333,49.54222222222222,205.22859016574552,49.55702677564278,0.01591608338004046,,,,,,,11.191223180223346,,,,-2.622193891787721,1.694747
NVSS J134138+491855,Bader,2024-03-06T20:50:10.490,205.40599166666667,49.31940555555556,205.35357167058513,49.3374076331375,0.03861612312533914,,,,,,,32.34827120910683,,,,-3.774627688987257,1.694747
NVSS J134157+493907,Bader,2024-03-06T20:50:10.490,205.48958333333331,49.651666666666664,205.4803448132191,49.6110379627942,0.04106698976887491,,,,,,,241.91663447658686,,,,-5.959164329989144,1.694747
SDSS J134038.43+492516.4,Bader,2024-03-06T20:50:10.490,205.16015416666664,49.42124166666667,205.16968495253832,49.40652912166325,0.015965802948530027,,,,,,,59.59122612341929,,,,-4.437955803432619,1.694747
SDSS J134041.67+491923.3,Bader,2024-03-06T20:50:10.490,205.17365249999995,49.323147222222225,205.1472400113453,49.35458425120071,0.035839493409011665,,,,,,,40.9383776633793,,,,-4.030326570303111,1.694747
SDSS J134056.73+492919.2,Bader,2024-03-06T20:50:10.490,205.23641666666663,49.488689722222226,205.22262671332604,49.48932850897223,0.00898061669648336,,,,,,,46.128287397874885,,,,-4.159918327206799,1.694747
SDSS J134057.37+492154.7,Bader,2024-03-06T20:50:10.490,205.23904999999996,49.36520277777778,205.22096248373524,49.34343419966343,0.024752426539052737,,,,,,,24.84649880130999,,,,-3.4881629989310303,1.694747
SDSS J134058.16+492418.5,Bader,2024-03-06T20:50:10.490,205.24235541666664,49.40516944444445,205.20158041062152,49.38714573980368,0.03207939240683516,,,,,,,7.671471023924283,,,,-2.2121966224923586,1.694747
