Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass,Corrected magnitude R (instrumental),Corrected magnitude G (instrumental),Corrected magnitude B (instrumental)
UCAC4 671-056976,2023-04-03 23:19:50.167,194.1467458333333,44.04041722222222,194.1990151241156,44.02429829284621,0.0408899894560422,,,15.111,,,81.12337637979681,,,0.1127412290110295,1.022549,,,
UCAC4 671-056978,2023-04-03 23:19:50.167,194.23035625,44.08350444444444,194.22043216218952,44.086684528303934,0.0078057085036443,,,13.154,,,119.63779379218454,,,-0.3090647157202635,1.022549,,,
UCAC4 671-056981,2023-04-03 23:19:50.167,194.25201875,44.08410611111111,194.2874955586117,44.06325357668455,0.0329313658602572,,,14.607,,,569.4116669438386,,,-2.002959629817422,1.022549,,,
[VV2006] J125711.4+435654,2023-04-03 23:19:50.167,194.29742916666663,43.94843611111111,194.26427711844508,43.95270108283405,0.0242455153027911,,,19.89,,,94.40411771060631,,,-0.0518710707271808,1.022549,,,
[VV2006] J125713.1+435912,2023-04-03 23:19:50.167,194.3046125,43.9867075,194.30611921592865,43.97428530593786,0.0124694181234509,,,19.46,,,596.2308321175994,,,-2.052929802373834,1.022549,,,
BD+44  2235,2023-04-03 23:32:33.846,194.26339291666665,44.00939055555556,194.2365517954936,44.019250581917305,0.0216756693733455,,,11.283,,,64.4563545876332,,,0.3624419241342443,1.016805,,,0.4140631278590413
BD+44  2236,2023-04-03 23:32:33.846,194.3568083333333,44.03411805555555,194.3681577236929,44.07254950971336,0.039287515017286,,,12.118,,,126.51085434742498,,,-0.3697131979077807,1.016805,,,-0.3180919941829837
BD+44  2237,2023-04-03 23:32:33.846,194.35763874999995,43.94248611111111,194.35292241754416,43.9431109323359,0.0034529174492013,,,11.74,,,1704.7776434707257,,,-3.1935630798678933,1.016805,,,-3.1419418761430964
GALEX J125702.3+435245,2023-04-03 23:32:33.846,194.2596116666666,43.87941444444444,194.2579577927372,43.90736180111811,0.0279727583714925,,,18.1,,,276.51332546028675,,,-1.218683889503699,1.016805,,,-1.1670626857789022
TYC 3023-1727-1,2023-04-03 23:32:33.846,194.45246958333328,44.14454194444444,194.43354479238397,44.124533904891344,0.0241827325098381,,,12.18,,,646.5935920165058,,,-2.1409722170933856,1.016805,,,-2.0893510133685886
TYC 3023-1747-1,2023-04-03 23:32:33.846,194.32141541666664,44.016803333333336,194.32790903096807,44.00387826769136,0.0137429630385664,,,12.02,,,32.92213758946957,,,1.0918862095888218,1.016805,,,1.1435074133136187
TYC 3023-1899-1,2023-04-03 23:32:33.846,194.1680658333333,43.94271277777777,194.14292678244115,43.92799205353794,0.0233329381366566,,,12.427,,,82.31336943954113,,,0.0969303246240706,1.016805,,,0.1485515283488676
TYC 3023-1974-1,2023-04-03 23:32:33.846,194.15329875,44.24989027777778,194.1527883121148,44.21530452054319,0.0345876909631401,,,12.111,,,920.1643992638992,,,-2.524057292903348,1.016805,,,-2.472436089178551
UCAC4 671-056976,2023-04-03 23:32:33.846,194.1467458333333,44.04041722222222,194.19973429823887,44.026695359866544,0.0404911063042544,,,15.111,,,83.21879623882438,,,0.0850527000334105,1.016805,,,0.1366739037582075
UCAC4 671-056978,2023-04-03 23:32:33.846,194.23035625,44.08350444444444,194.2211189121909,44.0890944551499,0.0086759975190719,,,13.154,,,118.2850642431756,,,-0.2967185016173677,1.016805,,,-0.24509729789257068
