Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),Apparent magnitude V (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass,Corrected magnitude R (instrumental),Corrected magnitude G (instrumental),Corrected magnitude B (instrumental)
TYC 4273-849-1,2022-12-07 20:58:38.932,339.3875783333333,65.02880222222223,339.4136460003912,65.03083779209943,0.0111910591436212,,12.342562675476074,13.1,12.34,,,1765.0092321778002,,,-4.978686190692115,1.134455,,,-2.95784817651382
V* RZ Cep,2022-12-07 20:58:38.932,339.8049033333333,64.85850305555554,339.8027010538389,64.86724620274359,0.0087930528675248,9.300000190734863,9.294269561767578,9.48,9.49,,,1626.3005448988883,,,-4.889820756022953,1.134455,,,-2.8689827418446576
TYC 4273-1186-1,2022-12-07 21:03:48.243,339.8064062499999,65.00935527777777,339.8148334147457,65.02936126168694,0.0203200666791159,,11.109890937805176,11.52,11.2,,,509.7517953403352,,,-3.630215647325137,1.140269,,,-2.140713618536302
TYC 4273-149-1,2022-12-07 21:03:48.243,339.36657125,64.86602138888888,339.36509532751904,64.89281126578766,0.0267972029991396,,12.062689781188965,12.75,12.0,,,162.63989226205717,,,-2.389886432090031,1.140269,,,-0.9003844033011961
TYC 4273-343-1,2022-12-07 21:03:48.243,339.3993054166666,65.13731277777778,339.483810410315,65.1274391695608,0.0368824794225991,,11.055931091308594,11.54,11.04,,,1277.0631658900104,,,-4.627349684235496,1.140269,,,-3.137847655446661
TYC 4273-435-1,2022-12-07 21:03:48.243,339.8296558333333,64.86889416666666,339.83234042525453,64.90766203675544,0.0387846071820354,,12.39925765991211,12.99,12.02,,,773.5151725070738,,,-4.082990829264504,1.140269,,,-2.5934888004756687
TYC 4273-659-1,2022-12-07 21:03:48.243,340.02271916666666,64.95526805555556,339.94995694861865,64.94310548674491,0.0331229439890414,,10.68376636505127,11.52,10.84,,,199.86135339914773,,,-2.6136407972227857,1.140269,,,-1.1241387684339508
TYC 4273-695-1,2022-12-07 21:03:48.243,339.6230466666666,65.06957249999999,339.59682058537766,65.09324671426167,0.0261259889281208,,11.706887245178224,12.47,12.15,,,551.0387962511847,,,-3.714774179038448,1.140269,,,-2.225272150249613
TYC 4273-822-1,2022-12-07 21:03:48.243,339.8645287499999,65.14470083333335,339.85678504665526,65.11127902263063,0.0335801297696972,,10.90470027923584,11.65,10.91,,,203.92122720848,,,-2.6354748274309934,1.140269,,,-1.1459727986421584
TYC 4273-849-1,2022-12-07 21:03:48.243,339.3875783333333,65.02880222222223,339.42351541467144,65.02396299352195,0.0159257018048346,,12.342562675476074,13.1,12.34,,,1667.277372197855,,,-4.916838377475065,1.140269,,,-3.4273363486862296
