Object,Date,RA_result (degree),DEC_result (degree),RA_input (degree),DEC_input (degree),Angular Separation (degree),Apparent magnitude R (known),Apparent magnitude G (known),Apparent magnitude B (known),"Light R (measured, W*t/m^2)","Light G (measured, W*t/m^2)","Light B (measured, W*t/m^2)",Apparent magnitude R (instrumental),Apparent magnitude G (instrumental),Apparent magnitude B (instrumental),Airmass
UCAC4 775-051528,2024-01-18T22:19:02.461,339.6520275,64.91847833333334,339.67424395595594,64.91815434398988,0.009423347038072414,,12.350152,,,312.2134550620063,,,-2.7856009341230417,,1.619498
UCAC4 776-050735,2024-01-18T22:19:02.461,339.45547124999996,65.15067722222223,339.5274832824123,65.14097189469399,0.03178534889104687,,12.216036,,,353.40049390427737,,,-2.9201397760484733,,1.619498
UCAC4 776-050768,2024-01-18T22:19:02.461,339.5824233333333,65.16741250000001,339.6047990025898,65.15337846656897,0.016890997578001724,,13.09212,,,89.00785312267604,,,-1.423042710574364,,1.619498
UCAC4 776-050859,2024-01-18T22:19:02.461,339.90894624999993,65.15553861111111,339.9247344591804,65.17842065677098,0.023823383533732735,,12.665632,,,97.41212833412942,,,-1.5210044763331252,,1.619498
Case  499,2024-01-18T22:23:15.449,339.4184791666666,65.05113833333333,339.45487492881637,65.05095312677393,0.01535323699280464,,11.506842,,,15.337063633509246,,,0.4861725556104695,,1.631315
Gaia DR3 2211653757940169856,2024-01-18T22:23:15.449,339.6966695833333,65.2426038888889,339.69194870856103,65.23195477111386,0.010831148982283151,,20.391071,,,120.66648717403777,,,-1.7534385702122797,,1.631315
Gaia DR3 2212402628434865152,2024-01-18T22:23:15.449,339.4240958333333,65.2265725,339.4720631027554,65.22351370473945,0.020332335608504868,,13.289844,,,272.25952164635737,,,-2.6369295885642656,,1.631315
TYC 4273-1186-1,2024-01-18T22:23:15.449,339.8064062499999,65.00935527777777,339.79412894511916,65.00939055825228,0.00518691290760996,,11.109891,,,69.41964812845157,,,-1.1531779157369701,,1.631315
TYC 4273-319-1,2024-01-18T22:23:15.449,339.58776499999993,65.066285,339.57211834454097,65.10632820234102,0.04058203870285552,,12.238874,,,463.07209515196746,,,-3.2135934234235104,,1.631315
TYC 4273-343-1,2024-01-18T22:23:15.449,339.3993054166666,65.13731277777778,339.4466910647736,65.1293371982654,0.021462931056225786,,11.055931,,,140.71642337977312,,,-1.9203338657997167,,1.631315
